time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2
1598095800,11550.44,11567.09,11545.25,11559.49,11572.2,11544.425,11599.91,11462.817500000001,11572.154999999999
1598096700,11559.53,11561.99,11545.59,11560.99,11572.2,11548,11606.88,11459.0375,11572.154999999999
1598097600,11561,11591.39,11560.99,11587.8,11572.2,11550,11601.54,11453.58,11572.154999999999
1598098500,11587.8,11591.83,11573.38,11575.49,11571.415,11555.654999999999,11611.73,11457.7925,11566.485
1598099400,11575.49,11611.21,11569.81,11602.46,11578.23,11561.285,11602.53,11486.675,11557.724999999999
1598100300,11602.47,11611.48,11586.19,11588.92,11578.365,11584.225,11591.5,11491.17,11548.025
1598101200,11588.93,11600,11565.22,11570.73,11578.365,11584.225,11595.05,11491.17,11548.025
1598102100,11570.74,11583.58,11560.59,11583.58,11578.365,11584.225,11601,11493.9075,11548.025
1598103000,11583.59,11588.65,11570.97,11575.96,11578.365,11585.375,11590.26,11500.414999999999,11548.025
1598103900,11575.96,11596.55,11575.96,11595.75,11578.535,11592,11582.7,11510.0225,11548.025
1598104800,11595.76,11603.07,11571.68,11575.09,11586.035,11592,11580.07,11512.7475,11548.025
1598105700,11575.1,11582.94,11567.21,11580.4,11586.035,11592,11593.98,11518.14,11548.025
1598106600,11580.39,11602.42,11580.39,11602.13,11586.035,11592,11609.31,11543.61,11544.04
1598107500,11602.14,11642.81,11602.13,11619.35,11601.7,11593.404999999999,11604.75,11555.080000000002,11543.8
1598108400,11619.36,11636.1,11606.21,11611.42,11601.7,11593.404999999999,11637.14,11555.080000000002,11543.8
1598109300,11611.5,11626.52,11598.8,11599.78,11601.7,11593.404999999999,11674.35,11555.080000000002,11542.955
1598110200,11599.78,11612.8,11599.3,11611.12,11605.009999999998,11593.404999999999,11667.02,11555.655,11536.515
1598111100,11611.12,11611.26,11578.59,11583.1,11605.009999999998,11594.029999999999,11667.96,11558.9675,11528.91
1598112000,11583.1,11593.57,11566.28,11577.92,11604.545,11594.029999999999,11656.13,11558.9675,11513.67
1598112900,11577.72,11587.69,11566.99,11573.1,11604.545,11594.029999999999,11666.99,11558.9675,11508.404999999999
1598113800,11573.58,11579.8,11553.77,11560.18,11598.29,11594.029999999999,11664.15,11558.9675,11508.404999999999
1598114700,11560.18,11584.96,11554,11584.95,11598.29,11594.029999999999,11668.65,11552.12,11508.404999999999
1598115600,11584.75,11592.17,11557.23,11574.88,11594.935000000001,11594.029999999999,11668.18,11548.755000000001,11508.404999999999
1598116500,11574.88,11595,11562.13,11588.85,11590.145,11594.029999999999,11676.22,11548.755000000001,11508.404999999999
1598117400,11588.86,11610,11581.37,11609.99,11583.285,11594.029999999999,11662.96,11551.4925,11508.404999999999
1598118300,11610,11610,11592.37,11599.91,11582.515,11594.029999999999,11661.2,11558.3125,11508.404999999999
1598119200,11599.91,11611.12,11598.8,11606.88,11582.445,11594.2,11648.98,11560.1,11508.404999999999
1598120100,11606.88,11612.99,11593.68,11601.54,11583.380000000001,11598.29,11636.51,11561.1,11508.404999999999
1598121000,11601.53,11611.73,11596.35,11611.73,11583.380000000001,11598.29,11645.21,11563.535,11508.404999999999
1598121900,11611.73,11618.4,11595.98,11602.53,11586.2,11598.29,11634.36,11569.7575,11508.404999999999
1598122800,11602.53,11607.47,11588.86,11591.5,11587.814999999999,11598.29,11647.92,11581.295,11508.404999999999
1598123700,11591.5,11596.98,11586.32,11595.05,11590.265,11598.29,11630.01,11581.295,11508.404999999999
1598124600,11595.06,11609.28,11594.54,11601,11599.885,11598.29,11644.58,11581.295,11508.404999999999
1598125500,11601,11601,11581.95,11590.26,11600.175,11598.29,11628.27,11581.869999999999,11508.404999999999
1598126400,11590.26,11594.89,11570.27,11582.7,11594.335,11598.29,11611.94,11585.2675,11508.404999999999
1598127300,11582.71,11587.47,11574.28,11580.07,11594.335,11598.29,11605.79,11589.0175,11522.485
1598128200,11580.08,11601.66,11579.36,11593.98,11594.335,11598.29,11608.56,11589.0175,11525.935000000001
1598129100,11593.98,11611,11592.41,11609.31,11594.335,11598.29,11622.73,11589.0175,11525.935000000001
1598130000,11609.31,11611.99,11604.2,11604.75,11591.130000000001,11598.29,11596.66,11597.5525,11527.34
1598130900,11604.67,11637.79,11598.45,11637.14,11604.03,11595.78,11592.12,11597.5525,11527.34
1598131800,11637.14,11675.97,11637.14,11674.35,11623.119999999999,11614.869999999999,11599.18,11597.5525,11527.34
1598132700,11674.34,11680,11656.35,11667.02,11625.135,11616.885,11586.76,11599.207499999999,11527.34
1598133600,11667.01,11684.78,11642,11667.96,11627.525000000001,11619.275000000001,11593.4,11599.519999999999,11527.34
1598134500,11667.96,11668.39,11644.33,11656.13,11629.53,11619.275000000001,11613.03,11599.287499999999,11527.34
1598135400,11656.13,11667.61,11648.97,11666.99,11632.07,11619.275000000001,11600.39,11599.287499999999,11527.34
1598136300,11666.98,11667.45,11645,11664.15,11638.595000000001,11619.275000000001,11591.3,11596.16,11527.34
1598137200,11664.16,11673.01,11656.63,11668.65,11641.615000000002,11619.39,11586.52,11596.16,11527.34
1598138100,11668.66,11685.03,11665.17,11668.18,11641.740000000002,11621.130000000001,11568.78,11594.4825,11527.34
1598139000,11668.18,11684.11,11665.92,11676.22,11661.085,11623.58,11577.86,11592.0875,11527.34
1598139900,11676.21,11686,11662.25,11662.96,11664,11628.135,11594.68,11588.6575,11527.34
1598140800,11663.51,11688.81,11606.72,11661.2,11647.765,11629.54,11588.96,11588.2725,11532.814999999999
