time,open,high,low,close,Volume,Volume MA
1597147200,11741.47,11741.47,11621,11662.86,3973.766626,2534.981758949999
1597150800,11662.85,11673.47,11560,11642.63,6624.941245,2743.2370543999987
1597154400,11642.64,11650.19,11526.53,11574.98,4606.236309,2883.2735955999988
1597158000,11574.49,11576.49,11372,11480.79,7538.654809,3160.2587190499985
1597161600,11480.78,11500,11285,11425.08,7721.818626,3418.7350910999985
1597165200,11425.07,11559.97,11366.8,11492.56,4217.282843,3541.846336199998
1597168800,11492.56,11492.56,11408.13,11449.23,2542.809853,3572.544009049998
1597172400,11449.23,11490.15,11383.8,11387.05,2586.592219,3622.2264320499976
1597176000,11387.05,11390.58,11133.07,11212.61,8453.06267,3948.8239640499974
1597179600,11212.61,11365.09,11125,11300,4296.397426,4057.1755287499973
1597183200,11300,11379.08,11270,11351.17,2788.626563,4084.0715770999973
1597186800,11351.18,11423.02,11333.52,11392.08,2765.669334,4100.673895549998
1597190400,11392.09,11420,11310,11336.06,2859.409156,4136.706461999997
1597194000,11336.05,11394.99,11330.67,11350.02,2066.182148,4144.691338549998
1597197600,11350,11358.45,11219.16,11249.72,3222.872003,4100.504548499998
1597201200,11249.16,11380.89,11237.33,11380.89,2411.521151,4069.228801899998
1597204800,11380.89,11396.33,11303.42,11313.62,1837.627429,4024.598373399998
1597208400,11313.61,11349.29,11258.22,11260.62,2645.263021,3995.7280255999985
1597212000,11260.62,11365.78,11150,11332,4684.354608,4030.624079349998
1597215600,11332,11476.41,11314.76,11446.91,3455.77999,4064.943401449998
1597219200,11446.91,11490.46,11419.99,11427.19,3387.530486,4035.6315944499984
1597222800,11427.19,11509.03,11425.77,11474.34,2642.779104,3836.523487399999
1597226400,11474.68,11536,11455.02,11515.25,3181.575581,3765.2904509999985
1597230000,11515.24,11525,11430.37,11460.44,2948.941088,3535.804764949999
1597233600,11460.44,11510.57,11421.55,11509.8,2839.274341,3291.6775506999993
1597237200,11509.8,11574.99,11470.99,11559.2,3385.726764,3250.099746749999
1597240800,11559.19,11596.39,11530,11584.32,3419.818032,3293.950155699999
1597244400,11584.32,11617.52,11541.94,11581.45,3135.320481,3321.386568799999
1597248000,11581.54,11615,11535.08,11547.9,2882.177939,3042.8423322499993
1597251600,11547.89,11556,11470,11531.94,2807.143796,2968.3796507499987
1597255200,11531.94,11551.86,11485.98,11511.99,2176.454825,2937.771063849999
1597258800,11511.99,11591,11510.42,11568.98,2258.042099,2912.389702099999
1597262400,11568.98,11595,11538.15,11559.99,1717.676792,2855.303083899999
1597266000,11559.99,11564.26,11482.57,11498.72,1725.712485,2838.2796007499987
1597269600,11498.71,11583,11498.71,11544.29,1637.697025,2759.020851849999
1597273200,11543.26,11587.97,11537.49,11564.33,1580.7333,2717.4814592999987
1597276800,11564.34,11656.99,11546.07,11634.25,3115.658353,2781.383005499999
1597280400,11634.25,11646.61,11596.39,11606.18,1800.876353,2739.1636720999986
1597284000,11606.18,11635,11522.47,11567.07,2609.500039,2635.4209436499987
1597287600,11567.08,11588.08,11529.98,11567.21,1870.393827,2556.1516354999985
1597291200,11567.21,11589,11537.07,11547.89,1787.893386,2476.1697804999985
1597294800,11547.88,11550.22,11509.17,11535.8,1873.347977,2437.698224149998
1597298400,11535.8,11569.26,11500,11553.32,1905.2000859999737,2373.879449399997
1597302000,11553.32,11567.54,11490.52,11513.43,2564.3454560000423,2354.6496677999994
1597305600,11513.43,11517.95,11360.7,11415.23,4958.504138000037,2460.6111576500016
1597309200,11414.07,11428.67,11270.36,11402.63,4899.807958000188,2536.3152173500107
1597312800,11402.68,11480,11350.01,11471.4,2969.4031380000356,2513.7944726500127
1597316400,11471.39,11622.1,11439.99,11552.11,4451.902333000144,2579.6235652500195
1597320000,11552.12,11585.01,11382.56,11466.38,3925.6732360000296,2631.7983301000213
1597323600,11466.34,11533.16,11420.18,11504.81,2828.1259410000102,2632.847437350022
1597327200,11504.2,11550,11469.36,11526.59,2665.153310999999,2657.282361650022
1597330800,11526.59,11535,11456.16,11499.78,2320.675963,2660.4140548500222
1597334400,11499.79,11530,11442.34,11530,2403.5028869999646,2694.7053596000205
1597338000,11530,11534.99,11491.4,11521.23,1736.3991780000188,2695.2396942500213
1597341600,11521.77,11541.8,11477.68,11488.53,1752.5363530000216,2700.9816606500226
1597345200,11489.21,11532.1,11483.58,11506.17,1310.6769869999941,2687.4788450000224
1597348800,11506.18,11637.38,11506.17,11602.2,3315.932073000025,2697.4925310000235
1597352400,11599.83,11721.28,11562,11685.4,5770.58389800026,2895.9779082500363
1597356000,11685.64,11792.96,11685.35,11717.7,4892.522909000148,3010.129051750044
1597359600,11717.7,11780,11717.7,11780,2403.9714329999815,3036.807932050043
1597363200,11779.77,11828,11700,11753.57,3747.833824000069,3134.804953950046
1597366800,11753.57,11796.32,11708.56,11781.2,2208.1524480000235,3151.5451775000474
