time,open,high,low,close,volume
1547154000,3585.07,3593.98,3574.65,3586.29,1029.9466869999999
1547157600,3586.29,3590.46,3574.64,3583.43,1215.7059029999998
1547161200,3583.43,3597.72,3577.05,3585.88,1355.7373040000002
1547164800,3585.88,3617.04,3557.52,3607.72,2396.186279
1547168400,3608.36,3609.09,3586.63,3592.95,1248.3205980000005
1547172000,3591.17,3596.74,3572.76,3579.76,1203.7324729999996
1547175600,3579.78,3589.79,3576.76,3583.09,1151.7955950000003
1547179200,3583.05,3583.12,3546.36,3562,2425.338605
1547182800,3562,3575.78,3560,3573.49,1339.354444
1547186400,3573.47,3590,3570.55,3584.48,883.6087760000001
1547190000,3584.76,3597,3578.95,3595.47,1112.0170070000001
1547193600,3595.47,3635,3590.82,3605.61,2203.902177
1547197200,3606.49,3612,3587.43,3591.3,1532.501414
1547200800,3589.98,3597.64,3562,3586.06,1755.5073439999999
1547204400,3586.45,3596.99,3580.02,3594,1249.1065640000004
1547208000,3593.57,3594.18,3571.18,3585.4,1311.3591970000002
1547211600,3584.97,3590.94,3569.16,3569.67,1214.857829
1547215200,3570.12,3612,3569.17,3598.72,1940.375892
1547218800,3599.79,3616.13,3585.5,3585.51,1337.3239260000003
1547222400,3586.49,3620.24,3582.5,3601.05,1439.9932979999994
1547226000,3601.22,3615.82,3599.85,3608.9,1101.7925509999998
1547229600,3608.93,3612.67,3594,3605.88,1092.0068840000001
1547233200,3605.88,3613,3602,3606.15,866.6796549999998
1547236800,3606.36,3624.82,3601.58,3610.7,1123.7241090000002
1547240400,3611.51,3658,3594.06,3602.52,2024.5048460000005
1547244000,3602.52,3606.88,3571.43,3578.85,1307.0592060000006
1547247600,3578.85,3615,3465,3601.31,5077.6060640000005
1547251200,3601.31,3618.19,3588.01,3601.46,1929.3420499999997
1547254800,3601.01,3601.53,3533,3590.17,1787.0645510000004
1547258400,3590.17,3596.55,3579,3594.88,785.1897019999997
1547262000,3594,3603.19,3589.33,3601.15,741.2997880000001
1547265600,3600.64,3601.14,3589.47,3590.35,555.013774
1547269200,3591.52,3598.77,3586.42,3587.72,433.6270999999999
1547272800,3588.21,3592.46,3567.31,3571.74,898.0639439999999
1547276400,3572.74,3583,3571.37,3582.38,721.767199
1547280000,3582.09,3582.81,3571.2,3574.06,565.230882
1547283600,3574.8,3579.78,3559.5,3578.3,883.0567680000003
1547287200,3578,3585.71,3572.93,3575.89,610.8186680000001
1547290800,3575.91,3578.79,3569.32,3571.16,518.6292679999999
1547294400,3571.89,3605,3530,3590.36,2214.429136
1547298000,3590.38,3593.18,3574,3587.73,1194.251472
1547301600,3588,3594.82,3582.61,3592.5,840.4310859999999
1547305200,3592.25,3594,3584,3591.11,730.1551209999998
