time,open,high,low,close
1596294900,11613.84,11614.38,11580.74,11584.89
1596295800,11584.89,11633.33,11575.71,11627.4
1596296700,11627.39,11634.19,11605.96,11632.89
1596297600,11632.89,11646.52,11604.6,11640.1
1596298500,11640.1,11666,11613,11658.49
1596299400,11658.47,11684.09,11646.25,11679.3
1596300300,11679.3,11690,11624.01,11632.91
1596301200,11632.91,11687.35,11632.41,11681.95
1596302100,11681.95,11717,11675.28,11703.15
1596303000,11703.15,11722.45,11682.63,11722.45
1596303900,11722.44,11736,11690.43,11732.02
1596304800,11732.62,11734.21,11642,11657.49
1596305700,11657.48,11671.59,11615.63,11632.49
1596306600,11632.56,11643.84,11561,11622.88
1596307500,11622.87,11670.01,11622.21,11665.22
1596308400,11665.22,11720,11658.22,11704.23
1596309300,11704.23,11780,11681.24,11775
1596310200,11774.99,11850,11727.67,11820.68
1596311100,11820.68,11826.09,11731,11769.59
1596312000,11769.09,11823,11766.86,11795.06
1596312900,11795.06,11828.92,11653.06,11819.49
1596313800,11819.5,11861,11800.08,11817.75
1596314700,11817.75,11834.25,11776.18,11829.99
1596315600,11829.67,11860,11807.48,11842.39
1596316500,11842.34,11845.88,11767.93,11783
1596317400,11783.35,11820.05,11750,11753.99
1596318300,11753.7,11785.82,11732.2,11755
1596319200,11755,11773.87,11700,11771.95
1596320100,11771.94,11779.6,11696.16,11732.09
1596321000,11731.57,11769.22,11727.34,11750.74
1596321900,11750.74,11790,11747.48,11783.3
1596322800,11783.31,11783.44,11750,11767.47
1596323700,11767.46,11767.49,11731.71,11757.13
1596324600,11757.13,11790.85,11757.09,11788.35
1596325500,11788.35,11820.61,11775.16,11801.17
1596326400,11801.17,11857,11791.78,11855.51
1596327300,11855.01,11855.51,11756.4,11801.9
1596328200,11801.91,11811.21,11752.07,11766.54
1596329100,11766.35,11801.31,11740,11782.63
1596330000,11782.63,11820,11772.13,11799.99
1596330900,11800,11856.71,11800,11828.77
1596331800,11828.37,11929.54,11811.24,11902.81
1596332700,11902.82,11942.55,11886.44,11942.55
1596333600,11942.54,11950,11900.13,11948.82
1596334500,11948.82,11965.01,11894.31,11921
1596335400,11921,11941.92,11892.88,11936.88
1596336300,11937.05,11949.99,11915.22,11928.58
1596337200,11928.4,11935.17,11870,11898.82
1596338100,11898.6,11947.1,11894.15,11930.82
1596339000,11930.82,11960.08,11915.03,11952.41
1596339900,11952.37,12000,11927.04,12000
1596340800,11999.96,12105.5,11961.56,12075.67
1596341700,12075.11,12123.46,11880.03,11912.31
1596342600,11912.32,11954.55,10518.5,11020.69
