time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,RSI,ATR
1596491100,11275.48,11311.45,11265,11298.92,11330.5,11334,11241.01,11386.939999999999,11394.07,35.89951657714042,32.456491032872144
1596491400,11298.93,11318.84,11288,11293.48,11313.485,11334,11219.81,11383.5775,11394.07,34.92754801859907,32.341027387667005
1596491700,11292.85,11305.67,11140.52,11191.28,11254.295,11278.26,11259.55,11382.787499999999,11394.07,22.56633066082921,41.82738257426219
1596492000,11190.74,11254.06,11180,11246.48,11254.295,11278.26,11262.72,11383.705,11398.96,35.785372510727186,44.12971239038628
1596492300,11246.48,11256,11236.01,11251.74,11253,11278.26,11265.91,11385.455,11398.96,36.89095986469187,42.40544721964439
1596492600,11251.74,11275.59,11240,11250.3,11253,11276.619999999999,11312.43,11386.3975,11398.96,36.70464754018024,41.91862956109837
1596492900,11250.3,11265.41,11245.01,11249.99,11244.645,11276.619999999999,11352.65,11383.6275,11398.96,36.661721742825186,40.38158459244846
1596493200,11249.99,11294.95,11249.86,11284.29,11231.085,11276.619999999999,11358.17,11383.6275,11398.96,44.408526460633524,40.71789997870216
1596493500,11284.29,11294.4,11264.09,11285.86,11229.68,11274.76,11354.49,11383.6275,11398.96,44.74167985972457,39.97447855165196
1596493800,11285.64,11285.64,11220,11252.77,11229.68,11274.76,11356,11385.93,11398.96,39.384424318903086,41.82344436939115
1596494100,11252.78,11264.04,11232.14,11243.98,11223.095000000001,11274.76,11360.35,11383.647500000001,11398.96,38.080043790398776,41.11462691443474
1596494400,11243.98,11257.2,11236.98,11240.4,11237.475,11274.76,11392.5,11383.647500000001,11398.96,37.534797502521165,39.622153563403764
1596494700,11240.4,11247.52,11195.41,11211.91,11245.18,11274.76,11375.56,11382.04,11394.74,33.43223845844467,40.51414259458925
1596495000,11211.91,11221.42,11189.97,11209.13,11242.46,11274.76,11366.68,11381.220000000001,11393.060000000001,33.05260585974909,39.86670383783293
1596495300,11209.13,11221.59,11174.98,11213.94,11234.965,11274.76,11348.38,11381.220000000001,11380.375,34.43975630331836,40.348367849416334
1596495600,11213.94,11237,11188.14,11227.18,11234.965,11274.76,11343.79,11381.220000000001,11380.375,38.23352045865006,40.956341574458065
1596495900,11227.17,11230.24,11195.8,11199.72,11234.689999999999,11274.76,11343.58,11375.86,11380.375,33.85747729828344,40.49088860485396
1596496200,11199.72,11216.42,11133.75,11174.72,11209.695,11271.375,11365.67,11379.587500000001,11380.375,30.44141131797207,43.50368227593582
1596496500,11174.72,11205.32,11163.24,11200.62,11198.895,11254.36,11360.81,11373.75,11380.375,37.47926404809031,43.401990684797546
1596496800,11200.61,11205.63,11190.08,11200.02,11195.475,11250.91,11345.75,11373.75,11382.779999999999,37.38489669631159,41.41256277874053
1596497100,11200.01,11237.55,11200.01,11234.11,11190.635,11250.91,11342.89,11373.75,11385.415,45.74365356303899,41.135951151687564
1596497400,11234.11,11242.6,11224.37,11226.48,11188.175,11249.615,11372.42,11342.439999999999,11354.105,44.31764705964007,39.49981178370985
1596497700,11226.48,11239.9,11226.36,11232.46,11188.175,11249.615,11361.22,11342.439999999999,11354.105,45.74519337221109,37.645539513444795
1596498000,11232.64,11248.36,11226.06,11228.93,11191.055,11241.26,11350.01,11342.439999999999,11354.105,45.01160019207354,36.549429548198816
1596498300,11229.52,11240.45,11225,11229.86,11191.055,11227.7,11329.37,11332.25,11343.915,45.26065923041764,35.04232743761324
1596498600,11229.87,11245.25,11228,11241.01,11191.055,11226.295,11321.09,11332.25,11343.915,48.2849581077827,33.77144690635515
1596498900,11241.01,11241.01,11216.66,11219.81,11205.8,11226.295,11317.75,11323.7425,11343.915,43.37771581604054,33.09848641304409
